1,3.619,2.1E-1,2.7E-1,0.013,1.285,0.010,BB
2,3.661,418.8,176.9,0.0366,0.597,19.159,BB
3,4.259,312.6,68.8,0.072,0.392,14.302,BB
4,9.344,1.8,3.3E-1,0.0798,0.742,0.082,BB
5,24.194,6.1E-1,1.8E-1,0.0528,0.904,0.028,BB
6,24.788,510.8,115.8,0.0675,0.251,23.367,BB
7,25.795,941.1,139.3,0.1028,0.416,43.053,BB
